Model,Train Precision,Train Recall,Train Accuracy,Train F1_Score,Test Precision,Test Recall,Test Accuracy,Test F1_Score
Decision Tree Baseline,84.00209756324219,98.2889719074507,83.47717936154977,90.58567522297461,82.10021960471153,95.72625698324022,79.64421663588739,88.39118753358409
Decision Tree Balanced,87.43473242584687,74.13341825044853,70.46382492242364,80.2365510951206,83.4919332786437,71.07309124767225,65.20559303508838,76.78360367157049
Decision Tree Tuned,84.31764292614385,59.65686236437209,58.39834671289841,69.87523254597474,84.56292215883009,60.03258845437617,58.772095126823196,70.21699474529665
Random Forest Baseline,83.62920168067227,98.93672380449388,83.47655121295494,90.64122131972833,81.99277354489043,97.1927374301676,80.44699054008217,88.94806356780708
Random Forest Balanced,87.04557137033164,76.28327106941197,71.63720649756907,81.30983869165146,83.35261635550881,73.78724394785847,66.84882975916783,78.27879985183357
Random Forest Tuned,83.6830179340639,84.04309025809107,73.84137991683313,83.86266759668294,83.80078941258417,84.01536312849161,73.91173255945426,83.90793909101475
XGBoost Baseline,82.01231452767558,99.20933881152284,81.76233369765951,89.79487107386892,81.8108311033248,98.91759776536313,81.31948893830324,89.55459785254418
XGBoost Balanced,82.01231452767558,99.20933881152284,81.76233369765951,89.79487107386892,81.8108311033248,98.91759776536313,81.31948893830324,89.55459785254418
XGBoost Tuned,81.79154886333107,99.31263737543979,81.5632105930979,89.70454633147074,81.75952065449098,99.09916201117318,81.3722534202691,89.59813113615557
